STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Cluster
DELHI UT,SOUTH-WEST,2011,51,44,5,69,0,69,391,238,153,0,1,52,158,1234,818,416,10,16,172,4,6,131,11,56,10,144,0,14,1204,3783,2
DELHI UT,WEST,2011,64,45,12,73,0,73,453,254,199,3,5,43,101,2578,1819,759,5,38,225,0,7,261,13,65,8,287,0,307,1290,5883,2
ASSAM,DHUBRI,2012,65,46,1,159,0,159,315,305,10,12,1,20,189,254,57,197,572,121,144,9,56,590,13,218,1,729,0,62,1056,4633,2
ASSAM,GUWAHATI CITY,2012,83,6,3,78,0,78,341,326,15,14,0,275,816,2426,870,1556,40,173,330,19,11,320,9,90,0,237,0,165,3294,8730,2
ASSAM,NAGAON,2012,74,86,9,173,0,173,351,348,3,39,0,93,337,540,159,381,184,94,109,2,63,828,10,245,3,875,0,150,1715,5980,2
BIHAR,MUZAFFARPUR,2012,198,611,12,34,0,34,279,220,59,48,1,73,284,1469,751,718,427,28,292,0,8,2219,83,0,0,80,3,198,959,7306,2
BIHAR,PATNA,2012,356,86,17,49,0,49,376,300,76,38,0,119,552,3114,1503,1611,522,9,748,4,12,4157,97,19,1,377,0,510,2852,14015,2
GUJARAT,AHMEDABAD COMMR.,2012,90,49,7,63,0,63,229,183,46,24,0,603,701,3622,2252,1370,159,298,246,21,16,1320,11,79,7,1448,0,242,12112,21347,2
KARNATAKA,BANGALORE COMMR.,2012,266,454,6,90,0,90,532,433,99,37,470,670,1240,9826,5090,4736,551,145,3092,41,0,3095,51,321,51,524,0,170,7665,29297,2
MADHYA PRADESH,INDORE,2012,123,172,3,173,0,173,54,42,12,4,5,275,1190,4370,2904,1466,82,39,205,6,64,1064,24,405,114,448,0,452,11819,21091,2
MAHARASHTRA,MUMBAI COMMR.,2012,215,170,9,232,0,232,212,141,71,29,29,1131,2500,10851,4075,6776,374,564,1827,48,86,3939,11,614,235,388,0,621,6423,30508,2
MAHARASHTRA,MUMBAI RLY.,2012,8,3,2,1,0,1,7,5,2,1,2,423,4,1635,1,1634,11,11,32,2,0,60,1,21,3,0,0,4,94,2325,2
MAHARASHTRA,NAGPUR COMMR.,2012,88,85,15,57,0,57,53,39,14,13,29,491,883,2339,1334,1005,169,50,264,7,32,974,6,84,53,166,0,297,2122,8277,2
MAHARASHTRA,NAVI MUMBAI,2012,57,20,2,36,0,36,19,11,8,6,7,417,596,1513,772,741,124,80,455,15,4,404,3,64,25,91,0,365,854,5157,2
MAHARASHTRA,PUNE COMMR.,2012,110,124,3,85,0,85,109,77,32,35,50,731,1019,4181,2604,1577,532,92,756,18,48,1071,9,120,85,215,0,523,2392,12308,2
MAHARASHTRA,PUNE RURAL,2012,163,97,12,92,0,92,71,51,20,46,30,258,753,1819,947,872,512,63,293,4,43,886,12,128,59,221,0,1150,1721,8433,2
MAHARASHTRA,THANE COMMR.,2012,110,93,6,107,0,107,124,77,47,23,15,757,1199,2435,1239,1196,280,82,867,35,29,1378,4,203,28,330,0,354,1685,10144,2
MAHARASHTRA,THANE RURAL,2012,146,74,8,63,0,63,64,37,27,48,13,389,897,1291,609,682,394,48,528,11,26,913,6,155,32,111,0,715,987,6919,2
RAJASTHAN,ALWAR,2012,100,88,7,129,0,129,243,154,89,8,5,63,231,3220,2443,777,8,23,1213,9,22,2612,47,135,0,655,0,503,2620,11941,2
UTTAR PRADESH,AGRA,2012,152,171,40,58,0,58,321,255,66,14,5,233,392,3472,2744,728,476,163,350,13,7,377,88,134,0,320,0,397,2177,9360,2
UTTAR PRADESH,ALIGARH,2012,177,150,30,64,0,64,298,263,35,22,4,121,192,1350,824,526,252,115,377,6,18,254,71,101,0,268,0,400,1536,5806,2
UTTAR PRADESH,BAREILLY,2012,114,151,36,86,0,86,265,249,16,3,0,68,146,762,379,383,134,107,388,3,15,795,61,112,0,88,0,293,1601,5228,2
UTTAR PRADESH,GAUTAMBUDH NAGAR,2012,89,103,16,19,0,19,158,115,43,7,1,202,189,2912,2008,904,150,101,322,4,1,91,17,50,0,142,0,354,1759,6687,2
UTTAR PRADESH,GHAZIABAD,2012,146,111,39,31,0,31,255,220,35,6,11,106,207,2707,2103,604,76,111,324,6,0,14,41,60,0,277,0,358,2591,7477,2
UTTAR PRADESH,KANPUR NAGAR,2012,151,126,28,55,0,55,318,281,37,13,2,142,225,1514,1178,336,137,182,506,11,2,289,56,110,0,317,0,469,2365,7018,2
UTTAR PRADESH,LUCKNOW,2012,141,99,27,48,0,48,315,304,11,8,1,63,479,2462,1663,799,195,411,952,6,3,91,32,110,2,538,0,481,4619,11083,2
UTTAR PRADESH,MEERUT,2012,202,246,28,54,0,54,287,231,56,16,5,264,277,2394,1668,726,284,108,443,8,1,22,39,129,0,435,0,384,2358,7984,2
WEST BENGAL,24 PARGANAS NORTH,2012,140,108,80,118,0,118,497,338,159,34,40,61,6,1453,381,1072,680,94,141,9,19,79,74,196,1,1860,3,10,6062,11765,2
WEST BENGAL,24 PARGANAS SOUTH,2012,224,8,28,244,0,244,419,419,0,34,58,35,51,1279,194,1085,1976,4,250,6,15,234,45,83,0,1666,0,70,7641,14370,2
WEST BENGAL,JALPAIGURI,2012,117,156,27,163,0,163,334,279,55,5,4,36,25,1461,292,1169,42,54,104,5,21,220,17,179,0,1625,0,314,2952,7861,2
WEST BENGAL,MALDA,2012,118,322,21,158,0,158,290,189,101,2,37,15,21,413,161,252,59,10,112,110,25,787,7,177,0,660,0,0,2290,5634,2
WEST BENGAL,MURSHIDABAD,2012,174,395,30,257,0,257,579,464,115,9,88,42,4,961,309,652,190,92,157,110,50,3254,39,609,6,2831,0,347,2489,12713,2
WEST BENGAL,NADIA,2012,146,357,21,174,0,174,433,374,59,29,51,34,21,1251,244,1007,128,132,338,21,22,2632,46,56,11,1860,0,285,3871,11919,2
WEST BENGAL,UTTAR DINAJPUR,2012,110,283,10,92,0,92,306,258,48,13,21,29,7,435,129,306,51,18,64,6,33,1105,9,150,5,623,0,3,1839,5212,2
DELHI UT,EAST,2012,48,53,9,90,0,90,503,251,252,4,0,57,172,3258,2137,1121,14,33,211,1,17,161,7,96,26,202,0,35,2426,7423,2
DELHI UT,NORTH-EAST,2012,49,65,11,78,0,78,510,263,247,4,1,58,57,2616,1944,672,5,12,136,4,2,242,25,69,9,293,0,145,1512,5903,2
DELHI UT,NORTH-WEST,2012,60,37,8,64,0,64,357,184,173,6,0,65,166,1901,1329,572,0,19,168,3,3,166,12,19,14,212,0,9,1253,4542,2
DELHI UT,OUTER,2012,96,60,15,67,0,67,572,317,255,6,2,91,262,2215,1405,810,7,34,233,2,6,224,15,79,18,244,0,90,2006,6344,2
DELHI UT,SOUTH-EAST,2012,46,69,6,116,0,116,538,306,232,2,2,72,201,2892,2045,847,12,45,207,10,11,252,11,160,43,123,0,218,2004,7040,2
DELHI UT,SOUTH-WEST,2012,47,48,6,87,0,87,399,244,155,0,1,47,211,1171,800,371,6,27,189,3,6,131,18,69,21,207,0,4,1387,4085,2
DELHI UT,WEST,2012,52,37,10,79,0,79,454,256,198,2,4,52,186,2352,1733,619,5,36,202,2,18,227,18,53,6,327,0,292,1144,5558,2
